timestamp,temperature,pressure,vibration,status
2026-02-12 00:00:00,72.10,2555.20,0.51,normal
2026-02-12 01:00:00,73.45,2560.45,0.49,normal
2026-02-12 02:00:00,74.80,2545.12,0.52,normal
2026-02-12 03:00:00,75.15,2570.67,0.48,normal
2026-02-12 04:00:00,76.50,2550.00,0.50,normal
2026-02-12 05:00:00,78.85,2585.34,0.53,normal
2026-02-12 06:00:00,81.20,2600.10,0.55,normal
2026-02-12 07:00:00,84.55,2620.45,0.58,normal
2026-02-12 08:00:00,88.90,2650.12,0.62,normal
2026-02-12 09:00:00,92.25,2680.67,0.65,normal
2026-02-12 10:00:00,95.60,2700.00,2.15,fault_novel
2026-02-12 11:00:00,98.95,2725.34,2.45,fault_novel
2026-02-12 12:00:00,102.30,2750.12,2.85,fault_novel
