timestamp,temperature,pressure,vibration,status
2026-01-01 00:00:00,72.48,2485.34,0.51,normal
2026-01-01 01:00:00,69.31,2512.45,0.48,normal
2026-01-01 02:00:00,71.12,2498.12,0.52,normal
2026-01-01 03:00:00,68.95,2505.67,0.49,normal
2026-01-01 04:00:00,70.50,2500.00,0.50,normal
2026-01-01 05:00:00,73.10,2490.55,0.53,normal
2026-01-01 06:00:00,67.45,2515.20,0.47,normal
2026-01-01 07:00:00,70.88,2502.34,0.51,normal
2026-01-01 08:00:00,71.50,2495.10,0.52,normal
2026-01-01 09:00:00,69.20,2508.45,0.48,normal
2026-01-01 10:00:00,70.00,2500.00,0.50,normal
